"C_Code","Year","Life_ex_value"
"AFG","1950","  27.70 "
"AFG","1951","  28.00 "
"AFG","1952","  28.40 "
"AFG","1953","  28.90 "
"AFG","1954","  29.20 "
"AFG","1955","  29.90 "
"AFG","1956","  30.40 "
"AFG","1957","  30.90 "
"AFG","1958","  31.50 "
"AFG","1959","  32.00 "
"AFG","1960","  32.50 "
"AFG","1961","  33.10 "
"AFG","1962","  33.50 "
"AFG","1963","  34.00 "
"AFG","1964","  34.50 "
"AFG","1965","  35.00 "
"AFG","1966","  35.50 "
"AFG","1967","  35.90 "
"AFG","1968","  36.40 "
"AFG","1969","  36.90 "
"AFG","1970","  37.40 "
"AFG","1971","  37.90 "
"AFG","1972","  38.40 "
"AFG","1973","  39.00 "
"AFG","1974","  39.50 "
"AFG","1975","  40.10 "
"AFG","1976","  40.60 "
"AFG","1977","  41.20 "
"AFG","1978","  40.30 "
"AFG","1979","  39.10 "
"AFG","1980","  39.60 "
"AFG","1981","  40.20 "
"AFG","1982","  37.80 "
"AFG","1983","  38.20 "
"AFG","1984","  33.30 "
"AFG","1985","  33.60 "
"AFG","1986","  39.40 "
"AFG","1987","  39.80 "
"AFG","1988","  44.00 "
"AFG","1989","  45.20 "
"AFG","1990","  46.00 "
"AFG","1991","  46.70 "
"AFG","1992","  47.60 "
"AFG","1993","  51.50 "
"AFG","1994","  51.50 "
"AFG","1995","  52.50 "
"AFG","1996","  53.20 "
"AFG","1997","  53.60 "
"AFG","1998","  52.90 "
"AFG","1999","  54.80 "
"AFG","2000","  55.30 "
"AFG","2001","  55.80 "
"AFG","2002","  56.50 "
"AFG","2003","  57.30 "
"AFG","2004","  57.90 "
"AFG","2005","  58.40 "
"AFG","2006","  58.70 "
"AFG","2007","  59.10 "
"AFG","2008","  59.90 "
"AFG","2009","  60.40 "
"AFG","2010","  60.90 "
"AFG","2011","  61.40 "
"AFG","2012","  61.90 "
"AFG","2013","  62.40 "
"AFG","2014","  62.50 "
"AFG","2015","  62.70 "
"AFG","2016","  63.10 "
"AFG","2017","  63.00 "
"AFG","2018","  63.10 "
"AFG","2019","  63.60 "
"AFG","2020","  62.60 "
"AFG","2021","  62.00 "
"ALB","1950","  44.70 "
"ALB","1951","  45.10 "
"ALB","1952","  46.00 "
"ALB","1953","  46.50 "
"ALB","1954","  47.60 "
"ALB","1955","  48.50 "
"ALB","1956","  49.60 "
"ALB","1957","  50.70 "
"ALB","1958","  52.00 "
"ALB","1959","  53.20 "
"ALB","1960","  54.40 "
"ALB","1961","  55.60 "
"ALB","1962","  56.70 "
"ALB","1963","  57.80 "
"ALB","1964","  59.00 "
"ALB","1965","  60.00 "
"ALB","1966","  61.00 "
"ALB","1967","  62.00 "
"ALB","1968","  62.90 "
"ALB","1969","  63.90 "
"ALB","1970","  64.80 "
"ALB","1971","  65.60 "
"ALB","1972","  66.40 "
"ALB","1973","  67.10 "
"ALB","1974","  67.80 "
"ALB","1975","  68.30 "
"ALB","1976","  68.70 "
"ALB","1977","  69.10 "
"ALB","1978","  69.30 "
"ALB","1979","  69.60 "
"ALB","1980","  70.50 "
"ALB","1981","  70.70 "
"ALB","1982","  71.00 "
"ALB","1983","  71.30 "
"ALB","1984","  71.50 "
"ALB","1985","  71.70 "
"ALB","1986","  71.90 "
"ALB","1987","  72.40 "
"ALB","1988","  72.60 "
"ALB","1989","  72.90 "
"ALB","1990","  73.10 "
"ALB","1991","  73.40 "
"ALB","1992","  73.70 "
"ALB","1993","  73.90 "
"ALB","1994","  74.10 "
"ALB","1995","  74.40 "
"ALB","1996","  74.60 "
"ALB","1997","  73.90 "
"ALB","1998","  75.00 "
"ALB","1999","  75.20 "
"ALB","2000","  75.40 "
"ALB","2001","  75.60 "
"ALB","2002","  75.90 "
"ALB","2003","  76.10 "
"ALB","2004","  76.40 "
"ALB","2005","  76.60 "
"ALB","2006","  76.80 "
"ALB","2007","  77.50 "
"ALB","2008","  77.70 "
"ALB","2009","  77.80 "
"ALB","2010","  77.90 "
"ALB","2011","  78.10 "
"ALB","2012","  78.10 "
"ALB","2013","  78.10 "
"ALB","2014","  78.40 "
"ALB","2015","  78.60 "
"ALB","2016","  78.90 "
"ALB","2017","  79.00 "
"ALB","2018","  79.20 "
"ALB","2019","  79.30 "
"ALB","2020","  77.00 "
"ALB","2021","  76.50 "
"DZA","1923","  28.82 "
"DZA","1933","  31.22 "
"DZA","1943","  33.72 "
"DZA","1950","  42.40 "
"DZA","1951","  42.50 "
"DZA","1952","  42.90 "
"DZA","1953","  42.90 "
"DZA","1954","  40.20 "
"DZA","1955","  40.40 "
"DZA","1956","  40.30 "
"DZA","1957","  40.40 "
"DZA","1958","  40.40 "
"DZA","1959","  40.50 "
"DZA","1960","  40.50 "
"DZA","1961","  40.50 "
"DZA","1962","  39.30 "
"DZA","1963","  42.90 "
"DZA","1964","  42.80 "
"DZA","1965","  42.70 "
"DZA","1966","  42.50 "
"DZA","1967","  42.60 "
"DZA","1968","  42.60 "
"DZA","1969","  42.80 "
"DZA","1970","  43.20 "
"DZA","1971","  43.70 "
"DZA","1972","  44.30 "
"DZA","1973","  45.10 "
"DZA","1974","  46.00 "
"DZA","1975","  47.00 "
"DZA","1976","  48.00 "
"DZA","1977","  49.20 "
"DZA","1978","  50.40 "
"DZA","1979","  51.80 "
"DZA","1980","  53.30 "
"DZA","1981","  55.30 "
"DZA","1982","  57.40 "
"DZA","1983","  59.50 "
"DZA","1984","  61.70 "
"DZA","1985","  63.60 "
"DZA","1986","  65.20 "
"DZA","1987","  65.80 "
"DZA","1988","  67.00 "
"DZA","1989","  67.10 "
"DZA","1990","  67.40 "
"DZA","1991","  67.70 "
"DZA","1992","  67.80 "
"DZA","1993","  67.70 "
"DZA","1994","  67.40 "
"DZA","1995","  67.50 "
"DZA","1996","  68.70 "
"DZA","1997","  69.20 "
"DZA","1998","  69.50 "
"DZA","1999","  70.00 "
"DZA","2000","  70.50 "
"DZA","2001","  70.80 "
"DZA","2002","  71.20 "
"DZA","2003","  71.30 "
"DZA","2004","  71.80 "
"DZA","2005","  72.10 "
"DZA","2006","  72.30 "
"DZA","2007","  72.60 "
"DZA","2008","  72.90 "
"DZA","2009","  73.60 "
"DZA","2010","  73.80 "
"DZA","2011","  74.10 "
"DZA","2012","  74.20 "
"DZA","2013","  74.60 "
"DZA","2014","  75.10 "
"DZA","2015","  75.60 "
"DZA","2016","  75.70 "
"DZA","2017","  75.70 "
"DZA","2018","  76.10 "
"DZA","2019","  76.50 "
"DZA","2020","  74.50 "
"DZA","2021","  76.40 "
"ASM","1950","  61.00 "
"ASM","1951","  61.40 "
"ASM","1952","  61.60 "
"ASM","1953","  61.30 "
"ASM","1954","  62.10 "
"ASM","1955","  62.30 "
"ASM","1956","  62.60 "
"ASM","1957","  62.90 "
"ASM","1958","  63.30 "
"ASM","1959","  63.60 "
"ASM","1960","  64.70 "
"ASM","1961","  65.50 "
"ASM","1962","  65.90 "
"ASM","1963","  65.90 "
"ASM","1964","  66.30 "
"ASM","1965","  66.30 "
"ASM","1966","  58.80 "
"ASM","1967","  66.20 "
"ASM","1968","  66.20 "
"ASM","1969","  66.40 "
"ASM","1970","  66.60 "
"ASM","1971","  67.10 "
"ASM","1972","  67.30 "
"ASM","1973","  67.40 "
"ASM","1974","  67.70 "
"ASM","1975","  67.80 "
"ASM","1976","  68.00 "
"ASM","1977","  68.20 "
"ASM","1978","  68.50 "
"ASM","1979","  68.70 "
"ASM","1980","  68.90 "
"ASM","1981","  69.20 "
"ASM","1982","  69.30 "
"ASM","1983","  69.50 "
"ASM","1984","  69.70 "
"ASM","1985","  70.00 "
"ASM","1986","  70.20 "
"ASM","1987","  70.80 "
"ASM","1988","  70.40 "
"ASM","1989","  70.10 "
"ASM","1990","  69.90 "
"ASM","1991","  70.60 "
"ASM","1992","  70.60 "
"ASM","1993","  70.80 "
"ASM","1994","  70.80 "
"ASM","1995","  71.10 "
"ASM","1996","  71.10 "
"ASM","1997","  71.30 "
"ASM","1998","  71.30 "
"ASM","1999","  71.10 "
"ASM","2000","  71.00 "
"ASM","2001","  70.90 "
"ASM","2002","  71.30 "
"ASM","2003","  71.10 "
"ASM","2004","  72.00 "
"ASM","2005","  72.30 "
"ASM","2006","  72.10 "
"ASM","2007","  72.10 "
"ASM","2008","  72.10 "
"ASM","2009","  70.50 "
"ASM","2010","  72.10 "
"ASM","2011","  72.10 "
"ASM","2012","  72.30 "
"ASM","2013","  72.30 "
"ASM","2014","  72.30 "
"ASM","2015","  72.50 "
"ASM","2016","  72.40 "
"ASM","2017","  72.50 "
"ASM","2018","  72.50 "
"ASM","2019","  72.30 "
"ASM","2020","  72.40 "
"ASM","2021","  72.50 "
"AND","1950","  64.60 "
"AND","1951","  64.20 "
"AND","1952","  67.40 "
"AND","1953","  68.20 "
"AND","1954","  69.50 "
"AND","1955","  69.30 "
"AND","1956","  69.30 "
"AND","1957","  69.10 "
"AND","1958","  71.40 "
