C_Code,yyear,daily_calory,prevalence_obesity,prevalence_overweight,death_rate
AFG,1990,2314,1,10.4,7.04
AFG,1991,2044,1.1,10.7,6.98
AFG,1992,1891,1.2,11,7
AFG,1993,1910,1.2,11.4,6.88
AFG,1994,1820,1.3,11.7,6.63
AFG,1995,1844,1.4,12.1,6.57
AFG,1996,1843,1.5,12.5,6.45
AFG,1997,1874,1.6,12.9,6.16
AFG,1998,1903,1.7,13.4,5.7
AFG,1999,1852,1.8,13.8,5.77
AFG,2000,1790,1.9,14.2,5.73
AFG,2001,1737,2,14.7,5.84
AFG,2002,1826,2.1,15.2,5.99
AFG,2003,1892,2.2,15.6,6.29
AFG,2004,1967,2.3,16.1,6.57
AFG,2005,1948,2.5,16.6,6.81
AFG,2006,1966,2.6,17.1,7.12
AFG,2007,2046,2.8,17.7,7.62
AFG,2008,2041,2.9,18.2,8.27
AFG,2009,2081,3.1,18.8,8.93
AFG,2010,2104,3.3,19.3,9.5
AFG,2011,2107,3.5,19.9,10.05
AFG,2012,2100,3.7,20.5,10.56
AFG,2013,2090,3.9,21.1,11.09
AFG,2014,2095,4.1,21.7,11.42
AFG,2015,2044,4.3,22.3,11.72
AFG,2016,2034,4.5,23,12.01
ALB,1990,2568,8.7,40.5,8.98
ALB,1991,2572,9,41,8.97
ALB,1992,2654,9.4,41.5,8.86
ALB,1993,2795,9.7,42,8.73
ALB,1994,2877,10.1,42.5,8.65
ALB,1995,2717,10.6,43.1,8.8
ALB,1996,2843,11,43.6,8.95
ALB,1997,2725,11.4,44.2,8.54
ALB,1998,2725,11.9,44.8,9.53
ALB,1999,2797,12.3,45.4,9.77
ALB,2000,2734,12.8,46,9.95
ALB,2001,2803,13.3,46.6,10.14
ALB,2002,2864,13.9,47.3,10.41
ALB,2003,2772,14.4,48,10.71
ALB,2004,2792,15,48.7,10.92
ALB,2005,2874,15.6,49.5,11.12
ALB,2006,2855,16.2,50.2,11.19
ALB,2007,2860,16.9,51,11.28
ALB,2008,2947,17.5,51.8,11.45
ALB,2009,2993,18.1,52.5,11.6
ALB,2010,3076,18.7,53.3,11.75
ALB,2011,3132,19.3,54,11.9
ALB,2012,3184,19.9,54.8,12.01
ALB,2013,3193,20.5,55.5,12.15
ALB,2014,3266,21.1,56.3,12.28
ALB,2015,3280,21.7,57,12.42
ALB,2016,3381,22.3,57.7,12.56
DZA,1990,2754,10.3,41.4,10.72
DZA,1991,2733,10.8,42.2,11.13
DZA,1992,2865,11.2,43,11.33
DZA,1993,2865,11.6,43.8,11.51
DZA,1994,2763,12.1,44.6,11.61
DZA,1995,2785,12.5,45.4,11.73
DZA,1996,2784,13,46.3,11.93
DZA,1997,2733,13.5,47.1,11.88
DZA,1998,2792,14,47.9,12.02
DZA,1999,2843,14.5,48.7,12.32
DZA,2000,2812,15,49.5,12.47
DZA,2001,2886,15.5,50.2,12.71
DZA,2002,2925,16.1,51,13.01
DZA,2003,2970,16.7,51.9,13.29
DZA,2004,2987,17.3,52.7,13.73
DZA,2005,2958,17.9,53.5,14.02
DZA,2006,3047,18.6,54.3,14.28
DZA,2007,3041,19.2,55,14.52
DZA,2008,3048,19.9,55.8,14.78
DZA,2009,3110,20.7,56.6,15.01
DZA,2010,3142,21.4,57.4,15.27
DZA,2011,3217,22.2,58.2,15.47
DZA,2012,3272,23.1,59,15.7
DZA,2013,3296,23.9,59.8,15.92
DZA,2014,3377,24.8,60.5,16.1
DZA,2015,3379,25.7,61.3,16.26
DZA,2016,3372,26.6,62,16.44
AND,1990,,20,56.4,8.48
AND,1991,,20.3,56.8,8.43
AND,1992,,20.6,57.2,8.41
AND,1993,,20.9,57.5,8.4
AND,1994,,21.2,57.9,8.38
AND,1995,,21.5,58.3,8.35
AND,1996,,21.8,58.6,8.31
AND,1997,,22.1,58.9,8.27
AND,1998,,22.4,59.3,8.24
AND,1999,,22.7,59.6,8.22
AND,2000,,23,59.9,8.2
AND,2001,,23.3,60.2,8.19
AND,2002,,23.6,60.5,8.24
AND,2003,,23.9,60.8,8.28
AND,2004,,24.2,61.1,8.33
AND,2005,,24.5,61.3,8.36
AND,2006,,24.8,61.6,8.4
AND,2007,,25.1,61.8,8.43
AND,2008,,25.4,62,8.49
AND,2009,,25.7,62.2,8.55
AND,2010,,26,62.5,8.62
AND,2011,,26.3,62.7,8.67
AND,2012,,26.6,62.9,8.72
AND,2013,,27,63.1,8.77
AND,2014,,27.3,63.3,8.82
AND,2015,,27.7,63.5,8.88
AND,2016,,28,63.7,8.91
AGO,1990,1641,1.7,13.1,1.4
AGO,1991,1611,1.8,13.6,1.44
AGO,1992,1625,1.9,14,1.46
AGO,1993,1564,2,14.4,1.43
AGO,1994,1644,2.1,14.9,1.52
AGO,1995,1687,2.2,15.3,1.58
AGO,1996,1731,2.4,15.8,1.61
AGO,1997,1732,2.5,16.3,1.64
AGO,1998,1752,2.7,16.7,1.67
AGO,1999,1805,2.8,17.3,1.8
AGO,2000,1792,3,17.8,1.9
AGO,2001,1833,3.1,18.3,1.96
AGO,2002,1915,3.3,18.8,2.06
AGO,2003,1983,3.5,19.4,2.16
AGO,2004,2030,3.7,20,2.27
AGO,2005,2077,3.9,20.5,2.36
AGO,2006,2119,4.1,21.1,2.49
AGO,2007,2173,4.3,21.7,2.62
AGO,2008,2245,4.6,22.3,2.8
AGO,2009,2303,4.8,22.9,2.99
AGO,2010,2345,5.1,23.6,3.18
AGO,2011,2407,5.3,24.2,3.39
AGO,2012,2384,5.6,24.8,3.64
AGO,2013,2473,5.9,25.5,3.9
AGO,2014,2419,6.2,26.2,4.14
AGO,2015,2380,6.5,26.8,4.39
AGO,2016,2338,6.8,27.5,4.6
ATG,1990,2467,8.6,33.7,9.85
ATG,1991,2532,8.9,34.4,10.13
ATG,1992,2545,9.2,34.9,10.32
ATG,1993,2376,9.6,35.5,10.47
ATG,1994,2255,9.9,36.1,10.61
ATG,1995,2188,10.3,36.7,10.74
ATG,1996,2190,10.6,37.2,10.99
ATG,1997,2163,11,37.8,10.34
ATG,1998,2154,11.4,38.3,11.11
ATG,1999,2158,11.7,38.9,11.13
ATG,2000,2150,12.1,39.4,11.15
ATG,2001,2085,12.5,40,11.29
ATG,2002,2069,12.9,40.5,11.46
ATG,2003,2071,13.3,41,11.67
ATG,2004,2107,13.7,41.5,11.81
ATG,2005,2331,14,42.1,12
ATG,2006,2328,14.4,42.6,12.1
ATG,2007,2411,14.8,43.1,12.02
ATG,2008,2380,15.3,43.6,12.24
ATG,2009,2322,15.7,44.1,12.34
ATG,2010,2316,16.1,44.7,12.51
ATG,2011,2369,16.6,45.2,12.63
ATG,2012,2293,17,45.7,12.76
ATG,2013,2417,17.5,46.3,12.95
ATG,2014,2400,18,46.9,13.03
ATG,2015,2405,18.6,47.4,13.09
ATG,2016,2404,19.1,48,13.2
ARG,1990,2911,16.6,48.7,8.58
ARG,1991,3010,17,49.3,8.73
ARG,1992,3077,17.4,49.9,8.91
ARG,1993,3116,17.8,50.5,9.04
ARG,1994,3155,18.2,51.1,9.16
ARG,1995,3163,18.5,51.7,9.26
ARG,1996,3156,18.9,52.2,9.38
ARG,1997,3132,19.3,52.8,9.51
ARG,1998,3163,19.7,53.3,9.66
ARG,1999,3265,20.1,53.9,9.84
ARG,2000,3260,20.5,54.4,9.9
ARG,2001,3212,20.9,54.9,9.98
ARG,2002,2977,21.4,55.5,10.04
ARG,2003,3009,21.8,56,10.1
ARG,2004,3028,22.3,56.6,10.13
ARG,2005,3107,22.8,57.1,10.14
ARG,2006,3114,23.2,57.6,10.1
ARG,2007,3145,23.7,58.2,10.09
ARG,2008,3158,24.2,58.7,10.02
ARG,2009,3132,24.7,59.2,10.01
