iso_code,year,consumption_per_smoker_per_day,"death_rate_per_100,000_people",deaths,share_of_adults_who_smoke
AFG,1980,5.6999998,,,10.4
AFG,1981,5.8000002,,,10.5
AFG,1982,5.8000002,,,10.5
AFG,1983,5.9000001,,,10.5
AFG,1984,6,,,10.6
AFG,1985,6.0999999,,,10.6
AFG,1986,6.0999999,,,10.6
AFG,1987,6.0999999,,,10.7
AFG,1988,6,,,10.7
AFG,1989,5.9000001,,,10.8
AFG,1990,5.8000002,75.84,5174,10.8
AFG,1991,5.5999999,75.64,5247,10.9
AFG,1992,5.4000001,75.66,5363,11
AFG,1993,5.0999999,76.53,5522,11.1
AFG,1994,4.6999998,77.78,5689,11.2
AFG,1995,4.5,78.52,5801,11.3
AFG,1996,4.3000002,79.31,5934,11.4
AFG,1997,4.0999999,80.11,6066,11.6
AFG,1998,3.9000001,80.85,6178,11.7
AFG,1999,3.8,81.67,6288,11.8
AFG,2000,3.7,82.36,6378,11.8
AFG,2001,3.5999999,82.9,6505,11.8
AFG,2002,3.7,81.55,6488,11.9
AFG,2003,3.8,80.84,6528,11.9
AFG,2004,3.8,80.4,6594,11.9
AFG,2005,4,79.78,6636,11.9
AFG,2006,4.0999999,79.47,6720,12
AFG,2007,4.3000002,79.44,6849,12
AFG,2008,4.4000001,79.74,7026,12
AFG,2009,4.5999999,79.73,7181,12
AFG,2010,4.9000001,79.72,7340,11.9
AFG,2011,5.0999999,79.85,7572,11.9
AFG,2012,5.1999998,80.2,7856,11.9
ALB,1980,18.700001,,,21.299999
ALB,1981,18.4,,,21.299999
ALB,1982,18.200001,,,21.299999
ALB,1983,17.9,,,21.299999
ALB,1984,17.700001,,,21.299999
ALB,1985,17.5,,,21.299999
ALB,1986,17.299999,,,21.299999
ALB,1987,17,,,21.299999
ALB,1988,16.799999,,,21.299999
ALB,1989,16.5,,,21.200001
ALB,1990,16.4,147.22,2752,21.200001
ALB,1991,16.299999,146.24,2809,21.299999
ALB,1992,16.299999,137.62,2705,21.299999
ALB,1993,16.200001,129.35,2603,21.299999
ALB,1994,16.1,118.84,2453,21.4
ALB,1995,16.1,119.74,2550,21.299999
ALB,1996,16,121.6,2674,21.200001
ALB,1997,16.299999,120.26,2745,20.9
ALB,1998,16.5,117.72,2788,20.6
ALB,1999,16.700001,114.76,2795,20.299999
ALB,2000,16.799999,113.18,2832,20
ALB,2001,17.1,107.38,2768,19.700001
ALB,2002,17.4,109.25,2898,19.4
ALB,2003,18.200001,113.75,3100,18.700001
ALB,2004,18.9,113.15,3166,18.1
ALB,2005,19,108.34,3108,18.200001
ALB,2006,19.1,100.81,2973,18.4
ALB,2007,19.200001,95.26,2899,18.700001
ALB,2008,19.200001,95.75,3011,19.1
ALB,2009,19.299999,94.38,3061,19.5
ALB,2010,19.5,94,3147,19.799999
ALB,2011,19.700001,95.48,3302,20.1
ALB,2012,19.9,95.71,3411,20.5
DZA,1980,19.1,,,15.6
DZA,1981,18.9,,,15.7
DZA,1982,18.799999,,,15.7
DZA,1983,18.700001,,,15.8
DZA,1984,18.5,,,15.8
DZA,1985,18.299999,,,15.9
DZA,1986,18.200001,,,15.9
DZA,1987,18.1,,,16
DZA,1988,18,,,16.1
DZA,1989,17.799999,,,16.200001
DZA,1990,17.700001,143.94,13780,16.299999
DZA,1991,17.6,140.65,14233,16.4
DZA,1992,17.4,137.88,14541,16.5
DZA,1993,17.299999,135.12,14827,16.6
DZA,1994,17.200001,132.65,15078,16.700001
DZA,1995,17,129.65,15270,16.799999
DZA,1996,16.799999,126.07,15364,16.9
DZA,1997,17,122.47,15420,16.700001
DZA,1998,17.200001,118.44,15442,16.299999
DZA,1999,17.4,115.59,15611,16.1
DZA,2000,17.5,111.96,15654,15.8
DZA,2001,17.700001,108.51,15699,15.5
DZA,2002,18,105.27,15762,15.2
DZA,2003,18.799999,101.81,15844,14.4
DZA,2004,19.700001,99.09,15980,13.6
DZA,2005,20.700001,96.7,16144,12.9
DZA,2006,21.6,94.36,16306,12.3
DZA,2007,22.5,92.25,16513,11.8
DZA,2008,23.299999,90.29,16733,11.4
DZA,2009,24.1,88.52,17014,11.1
DZA,2010,24.6,86.5,17238,10.9
DZA,2011,24.6,85.2,17595,11
DZA,2012,24.4,83.76,17978,11.2
AND,1980,17.6,,,30.5
AND,1981,17.799999,,,30.6
AND,1982,18.1,,,30.700001
AND,1983,18.4,,,30.799999
AND,1984,18.799999,,,30.9
AND,1985,19.1,,,31.1
AND,1986,19.299999,,,31.200001
AND,1987,19.5,,,31.200001
AND,1988,19.5,,,31.200001
AND,1989,19.5,,,31.200001
AND,1990,19.5,116.02,60,31.1
AND,1991,19.4,115.23,63,31
AND,1992,19.5,114.5,67,31
AND,1993,19.700001,112.28,71,31
AND,1994,19.799999,110.02,72,31
AND,1995,20,107.44,74,31
AND,1996,20.1,105.17,75,30.9
AND,1997,20,102.4,76,30.799999
AND,1998,19.9,99.99,78,30.700001
AND,1999,19.6,97.77,79,30.6
AND,2000,19.4,95.84,81,30.5
AND,2001,19.1,94.03,82,30.200001
AND,2002,18.799999,92.05,84,30
AND,2003,18.6,90.37,87,29.5
AND,2004,18.4,89.32,89,29.1
AND,2005,18.299999,87.63,90,28.6
AND,2006,18.200001,86.32,92,28.1
AND,2007,18.200001,84.5,94,27.700001
AND,2008,18.4,83.26,96,27.299999
AND,2009,18.700001,82.37,98,27
AND,2010,19.1,81.3,99,26.700001
AND,2011,19.6,80.01,94,26.6
AND,2012,19.9,78.9,92,26.6
AGO,1980,22.700001,,,8.6999998
AGO,1981,22.9,,,8.6999998
AGO,1982,23.1,,,8.8000002
AGO,1983,23.299999,,,8.8000002
AGO,1984,23.5,,,8.8000002
AGO,1985,23.5,,,8.8000002
AGO,1986,23.6,,,8.8999996
AGO,1987,23.5,,,8.8999996
AGO,1988,23.5,,,8.8999996
AGO,1989,23.4,,,8.8999996
AGO,1990,23.299999,114.32,4507,8.8999996
AGO,1991,23.200001,114.02,4613,8.8999996
AGO,1992,23.200001,113.86,4732,8.8999996
AGO,1993,23.299999,114.83,4916,8.8999996
AGO,1994,23.4,115.42,5085,8.8999996
AGO,1995,23.4,114.51,5178,8.8999996
AGO,1996,23.200001,111.59,5151,8.8999996
AGO,1997,23,109.82,5198,8.8999996
AGO,1998,22.700001,109.79,5369,8.8999996
AGO,1999,22.4,108.93,5484,8.8999996
AGO,2000,22.1,107.16,5561,8.8999996
AGO,2001,21.9,103.94,5568,8.8999996
AGO,2002,21.5,98.65,5440,8.8999996
AGO,2003,21.299999,95.68,5460,8.8999996
AGO,2004,21,94.66,5597,8.8999996
AGO,2005,20.6,90.6,5536,8.8999996
AGO,2006,20.1,89.23,5662,8.8999996
AGO,2007,19.6,86.48,5704,8.8000002
AGO,2008,19,84.57,5792,8.8000002
AGO,2009,18.6,82.85,5904,8.8000002
AGO,2010,18.299999,80.83,6005,8.8000002
AGO,2011,18.1,79.39,6158,8.6999998
AGO,2012,17.9,78.3,6351,8.6999998
ATG,1980,119.5,,,5.1999998
ATG,1981,116.6,,,5.0999999
ATG,1982,114.3,,,5
ATG,1983,111.3,,,4.9000001
ATG,1984,107.3,,,4.8000002
ATG,1985,102.4,,,4.5999999
ATG,1986,96.599998,,,4.4000001
ATG,1987,90.5,,,4.3000002
ATG,1988,84.400002,,,4.1999998
ATG,1989,78.800003,,,4
ATG,1990,74.099998,45.73,24,4
ATG,1991,70.300003,45.99,25,3.9000001
ATG,1992,67.5,46.64,25,3.9000001
ATG,1993,65,49.32,27,3.8
ATG,1994,62.599998,49.62,27,3.8
ATG,1995,61.200001,50.04,27,3.8
ATG,1996,59.599998,45.44,25,3.8
ATG,1997,58.200001,43.95,25,3.7
ATG,1998,56.700001,43.11,25,3.7
ATG,1999,55.099998,42.63,25,3.5999999
ATG,2000,53.700001,42.14,25,3.5999999
ATG,2001,52.5,41.19,25,3.5999999
ATG,2002,51.200001,40.35,25,3.5
ATG,2003,49.799999,39.87,26,3.5
ATG,2004,48.299999,39.45,26,3.5
ATG,2005,46.5,39.12,26,3.5
ATG,2006,44.099998,39.64,27,3.4000001
ATG,2007,41.299999,45.81,32,3.4000001
ATG,2008,39.099998,45.37,33,3.4000001
ATG,2009,38.200001,40.69,30,3.4000001
ATG,2010,38.099998,40.04,30,3.4000001
ATG,2011,38.5,39.62,31,3.4000001
ATG,2012,38.900002,38.9,31,3.4000001
ARG,1980,19.299999,,,26.299999
ARG,1981,19.200001,,,26.1
ARG,1982,19.200001,,,26
ARG,1983,19.1,,,25.9
ARG,1984,19.1,,,25.799999
ARG,1985,19.1,,,25.700001
ARG,1986,19.1,,,25.5
ARG,1987,19.1,,,25.4
ARG,1988,19.1,,,25.299999
ARG,1989,19.1,,,25.299999
ARG,1990,19.1,143.76,46415,25.299999
ARG,1991,19,139.55,45869,25.200001
ARG,1992,18.799999,138.12,46216,25
ARG,1993,18.5,134.18,45708,24.9
ARG,1994,18.200001,129.39,44885,24.799999
ARG,1995,18,127.74,45126,24.700001
ARG,1996,17.799999,126.7,45556,24.6
ARG,1997,17.6,125.67,45967,24.4
ARG,1998,17.5,125.1,46526,24.1
ARG,1999,17.5,124.22,46945,23.9
ARG,2000,17.5,118.91,45673,23.700001
ARG,2001,17.6,117.47,45880,23.6
ARG,2002,17.700001,117.66,46722,23.6
ARG,2003,17.9,116.85,47185,23.6
ARG,2004,18,112.77,46319,23.4
ARG,2005,18.1,109.61,45836,23.200001
ARG,2006,18.299999,108.03,46026,22.700001
ARG,2007,18.5,108.96,47285,22.200001
ARG,2008,18.6,104.98,46398,21.700001
ARG,2009,18.799999,103.21,46503,21.200001
ARG,2010,19.1,102.18,46971,20.5
ARG,2011,19.4,101.05,47324,19.799999
ARG,2012,19.700001,99.55,47485,19.299999
ARM,1980,22.299999,,,26
ARM,1981,22.1,,,26.200001
ARM,1982,21.799999,,,26.5
ARM,1983,21.700001,,,26.700001
ARM,1984,21.6,,,27
ARM,1985,21.5,,,27.200001
ARM,1986,21.4,,,27.4
ARM,1987,21.4,,,27.6
ARM,1988,21.4,,,27.799999
ARM,1989,21.4,,,27.9
ARM,1990,21.6,160.53,4243,28
ARM,1991,21.799999,167.46,4532,28.1
ARM,1992,22.1,178.89,4942,28.1
ARM,1993,22.5,184.35,5167,28.200001
ARM,1994,22.9,174.81,4978,28.1
ARM,1995,23.4,168.26,4927,28
ARM,1996,23.799999,165.48,4988,27.9
ARM,1997,24.5,154.23,4793,27.5
ARM,1998,25.1,146.85,4674,27.200001
ARM,1999,25.5,146.88,4759,26.9
ARM,2000,25.799999,141.87,4722,26.700001
ARM,2001,26,141.61,4839,26.4
ARM,2002,26,142.27,4954,26.200001
ARM,2003,25.9,142.66,5014,26.200001
ARM,2004,25.6,140.8,4978,26.200001
ARM,2005,25.200001,141.13,5060,26.299999
ARM,2006,24.9,141.45,5155,26.299999
ARM,2007,24.6,137.23,5053,26.299999
ARM,2008,24.299999,137.52,5091,26.299999
ARM,2009,24,136.05,5044,26.4
ARM,2010,23.700001,133.29,4980,26.4
ARM,2011,23.4,130.85,4955,26.6
ARM,2012,23.1,126.24,4840,26.700001
AUS,1980,24.5,,,30.5
AUS,1981,24.4,,,30
AUS,1982,24.299999,,,29.6
AUS,1983,24.299999,,,29.1
AUS,1984,24.299999,,,28.5
AUS,1985,24.200001,,,27.799999
AUS,1986,24.1,,,27.1
AUS,1987,23.9,,,26.4
AUS,1988,23.700001,,,25.799999
AUS,1989,23.299999,,,25.4
AUS,1990,22.9,125.5,24759,25.1
AUS,1991,22.700001,119.45,24211,24.9
AUS,1992,22.4,115.98,24109,24.700001
AUS,1993,22.1,111.02,23651,24.6
AUS,1994,21.9,108.15,23606,24.200001
AUS,1995,21.700001,103.29,23090,23.799999
AUS,1996,21.5,99.65,22860,23.4
AUS,1997,21.299999,94.74,22294,23
AUS,1998,21,89.67,21643,22.5
AUS,1999,20.799999,84.67,20985,21.9
AUS,2000,20.700001,80.42,20466,21.4
AUS,2001,20.5,76.55,20046,20.9
AUS,2002,20.299999,73.4,19775,20.4
AUS,2003,20.200001,69.39,19199,19.9
AUS,2004,20.1,66.33,18866,19.4
AUS,2005,20.1,63.17,18455,18.9
AUS,2006,20.200001,60.66,18235,18.299999
AUS,2007,20.299999,59.47,18373,17.700001
AUS,2008,20.4,57.94,18357,17.200001
AUS,2009,20.5,55.63,18062,16.799999
AUS,2010,20.5,53.61,17852,16.4
AUS,2011,20.4,52.23,17884,16.299999
AUS,2012,20.1,50.33,17730,16.299999
AUT,1980,30.799999,,,26.1
AUT,1981,30.6,,,25.6
AUT,1982,30.1,,,25.5
AUT,1983,29.5,,,25.5
AUT,1984,28.799999,,,25.6
AUT,1985,28.200001,,,25.700001
AUT,1986,27.5,,,26
AUT,1987,26.5,,,26.5
AUT,1988,25.6,,,27.1
AUT,1989,24.6,,,27.6
AUT,1990,23.700001,106.68,12730,28.1
AUT,1991,22.9,105.89,12714,28.6
AUT,1992,22.5,104.44,12619,28.799999
AUT,1993,22.200001,103.05,12511,29
AUT,1994,22.200001,100.58,12296,28.9
AUT,1995,22.299999,99.49,12297,28.6
AUT,1996,22.5,98.49,12243,28.1
AUT,1997,22.5,96.35,12075,27.9
AUT,1998,21.6,94.71,11963,28.700001
AUT,1999,20.700001,92.37,11804,29.700001
AUT,2000,19.9,89.47,11646,30.4
AUT,2001,19.200001,86.56,11449,31.1
AUT,2002,18.799999,85.8,11565,31.6
AUT,2003,18.700001,84.85,11637,31.5
AUT,2004,18.799999,82.58,11535,31.1
AUT,2005,19,80.88,11521,30.5
AUT,2006,19.200001,78.85,11408,29.799999
AUT,2007,19.200001,78.24,11520,29.4
AUT,2008,19.1,77.17,11560,29.200001
