"C_Code","YYear","Drug_num","Alcohol_num"
"AFG","1990","93","72"
"AFG","1991","102","75"
"AFG","1992","118","80"
"AFG","1993","132","85"
"AFG","1994","142","88"
"AFG","1995","151","91"
"AFG","1996","159","93"
"AFG","1997","168","96"
"AFG","1998","173","97"
"AFG","1999","178","98"
"AFG","2000","186","99"
"AFG","2001","197","101"
"AFG","2002","202","101"
"AFG","2003","216","104"
"AFG","2004","229","107"
"AFG","2005","239","109"
"AFG","2006","245","110"
"AFG","2007","252","111"
"AFG","2008","261","114"
"AFG","2009","270","115"
"AFG","2010","281","118"
"AFG","2011","292","120"
"AFG","2012","305","124"
"AFG","2013","316","126"
"AFG","2014","326","128"
"AFG","2015","339","131"
"AFG","2016","354","135"
"AFG","2017","372","139"
"AFG","2018","390","143"
"AFG","2019","406","147"
"ALB","1990","5","10"
"ALB","1991","7","11"
"ALB","1992","7","11"
"ALB","1993","10","11"
"ALB","1994","15","12"
"ALB","1995","17","13"
"ALB","1996","17","13"
"ALB","1997","17","14"
"ALB","1998","21","15"
"ALB","1999","18","15"
"ALB","2000","21","14"
"ALB","2001","26","15"
"ALB","2002","30","15"
"ALB","2003","31","16"
"ALB","2004","30","16"
"ALB","2005","23","16"
"ALB","2006","21","16"
"ALB","2007","23","16"
"ALB","2008","23","17"
"ALB","2009","19","16"
"ALB","2010","21","17"
"ALB","2011","22","17"
"ALB","2012","23","17"
"ALB","2013","24","17"
"ALB","2014","25","18"
"ALB","2015","26","18"
"ALB","2016","27","18"
"ALB","2017","28","18"
"ALB","2018","28","18"
"ALB","2019","29","18"
"DZA","1990","171","75"
"DZA","1991","179","76"
"DZA","1992","192","78"
"DZA","1993","205","80"
"DZA","1994","223","82"
"DZA","1995","239","84"
"DZA","1996","256","85"
"DZA","1997","274","86"
"DZA","1998","290","87"
"DZA","1999","310","89"
"DZA","2000","327","89"
"DZA","2001","341","89"
"DZA","2002","354","90"
"DZA","2003","355","89"
"DZA","2004","364","90"
"DZA","2005","373","90"
"DZA","2006","380","91"
"DZA","2007","386","92"
"DZA","2008","392","92"
"DZA","2009","399","93"
"DZA","2010","406","94"
"DZA","2011","418","96"
"DZA","2012","429","98"
"DZA","2013","441","99"
"DZA","2014","454","101"
"DZA","2015","465","103"
"DZA","2016","470","104"
"DZA","2017","484","106"
"DZA","2018","509","109"
"DZA","2019","526","111"
"ASM","1990","0","0"
"ASM","1991","0","0"
"ASM","1992","0","1"
"ASM","1993","0","1"
"ASM","1994","0","1"
"ASM","1995","0","1"
"ASM","1996","0","1"
"ASM","1997","0","1"
"ASM","1998","0","1"
"ASM","1999","0","1"
"ASM","2000","0","1"
"ASM","2001","0","1"
"ASM","2002","0","1"
"ASM","2003","0","0"
"ASM","2004","0","0"
"ASM","2005","0","0"
"ASM","2006","0","0"
"ASM","2007","0","0"
"ASM","2008","0","0"
"ASM","2009","0","0"
"ASM","2010","0","0"
"ASM","2011","0","0"
"ASM","2012","0","0"
"ASM","2013","0","0"
"ASM","2014","0","1"
"ASM","2015","0","1"
"ASM","2016","0","1"
"ASM","2017","0","1"
"ASM","2018","0","1"
"ASM","2019","0","1"
"AND","1990","0","1"
"AND","1991","0","1"
"AND","1992","0","1"
"AND","1993","0","1"
"AND","1994","0","1"
"AND","1995","0","1"
"AND","1996","0","1"
"AND","1997","0","1"
"AND","1998","0","1"
"AND","1999","0","1"
"AND","2000","0","1"
"AND","2001","0","1"
"AND","2002","0","1"
"AND","2003","0","1"
"AND","2004","0","1"
"AND","2005","0","1"
"AND","2006","0","1"
"AND","2007","0","1"
"AND","2008","0","1"
"AND","2009","0","1"
"AND","2010","0","1"
"AND","2011","0","1"
"AND","2012","0","1"
"AND","2013","0","1"
"AND","2014","0","1"
"AND","2015","0","1"
"AND","2016","0","1"
"AND","2017","0","1"
"AND","2018","0","1"
"AND","2019","0","1"
"AGO","1990","19","98"
"AGO","1991","20","101"
"AGO","1992","21","103"
"AGO","1993","23","108"
"AGO","1994","24","111"
"AGO","1995","24","113"
"AGO","1996","24","111"
"AGO","1997","24","113"
"AGO","1998","27","119"
"AGO","1999","28","123"
"AGO","2000","29","125"
"AGO","2001","30","126"
"AGO","2002","30","126"
"AGO","2003","32","130"
"AGO","2004","34","136"
"AGO","2005","34","137"
"AGO","2006","36","141"
"AGO","2007","38","143"
"AGO","2008","40","147"
"AGO","2009","43","153"
"AGO","2010","45","158"
"AGO","2011","49","164"
"AGO","2012","52","170"
"AGO","2013","55","175"
"AGO","2014","58","177"
"AGO","2015","61","182"
"AGO","2016","65","188"
"AGO","2017","70","196"
"AGO","2018","75","204"
"AGO","2019","80","211"
"ATG","1990","0","3"
"ATG","1991","0","3"
"ATG","1992","0","3"
"ATG","1993","0","3"
"ATG","1994","0","3"
"ATG","1995","0","3"
"ATG","1996","0","3"
"ATG","1997","0","4"
"ATG","1998","0","4"
"ATG","1999","1","4"
"ATG","2000","1","4"
"ATG","2001","1","4"
"ATG","2002","1","4"
